path,filename,folder,extension,word_count,line_count,md5,contains_authority_language,contains_runtime_language,likely_category,proposed_status,duplicate_filename_group,exact_duplicate_group
github/PULL_REQUEST_TEMPLATE.md,PULL_REQUEST_TEMPLATE.md,github,.md,137,58,ac2a168426dd001070dda5ecdc59d1cb,no,yes,root-or-other,historical,,ac2a168426dd001070dda5ecdc59d1cb
github/copilot-instructions.md,copilot-instructions.md,github,.md,195,38,c88286c59da7207033f0be460c70ae83,yes,no,root-or-other,historical,,
github/pull_request_template.md,pull_request_template.md,github,.md,137,58,ac2a168426dd001070dda5ecdc59d1cb,no,yes,root-or-other,historical,,ac2a168426dd001070dda5ecdc59d1cb
phase2a-todo.md,.phase2a-todo.md,,.md,203,36,ee84091c93ad8766f8b3d2e6a9a9c233,no,no,root-or-other,historical,,
72-HOUR-SPRINT-QUICK-START.md,72-HOUR-SPRINT-QUICK-START.md,,.md,1430,454,b967090b7a7bcf2ca7fbaee444b3a8a6,no,no,root-or-other,historical,,
72-HOUR-SPRINT.md,72-HOUR-SPRINT.md,,.md,1499,451,13ac8493989d441fdefba4eb4ab6e6cd,no,no,root-or-other,historical,,
72HR-EXECUTIVE-SUMMARY.md,72HR-EXECUTIVE-SUMMARY.md,,.md,445,112,f854f51e626c0425c89d47b334ae5b38,no,yes,root-or-other,historical,,
72HR-INDEX.md,72HR-INDEX.md,,.md,829,182,d09771a778f929d39640482e86432c03,no,no,root-or-other,historical,,
A5_ADMIN_RETRY_ATOMICITY_COMPLETE.md,A5_ADMIN_RETRY_ATOMICITY_COMPLETE.md,,.md,894,214,809c18909d9857c7110256b3fe64d729,no,no,root-or-other,historical,,
A5_ADMIN_RETRY_STATUS.md,A5_ADMIN_RETRY_STATUS.md,,.md,491,97,53811b496eda52302f2c500ea7e4705e,no,no,root-or-other,historical,,
AI_GOVERNANCE.md,AI_GOVERNANCE.md,,.md,261,47,51cb249faef51cd105b63a5112c6b16b,no,no,root-or-other,historical,,
APPLY_MIGRATIONS_RUNBOOK.md,APPLY_MIGRATIONS_RUNBOOK.md,,.md,720,197,b8323b30e02bbef0784a588b9bc5e80e,no,no,runbook,runbook,,
APPLY_PHASE2D_2-6.md,APPLY_PHASE2D_2-6.md,,.md,454,108,8597bbdddd93ab4c26b6a462f539300e,no,no,root-or-other,historical,,
AUDIT_GRADE_CLOSURE_PACKET_2026-02-22.md,AUDIT_GRADE_CLOSURE_PACKET_2026-02-22.md,,.md,482,86,e0455bc144161fd1f9e6519f651a2606,no,yes,audit,draft,,
AUDIT_VERIFICATION.md,AUDIT_VERIFICATION.md,,.md,624,178,aa7c10b3ab2ceca29eebfbe075fd39af,no,no,audit,draft,,
CHUNKING_FUTURE_ENHANCEMENTS.md,CHUNKING_FUTURE_ENHANCEMENTS.md,,.md,794,247,2d8e346175ccd43dcb42b52ab04178d4,no,no,root-or-other,historical,,
CHUNKING_HARDENING_COMPLETE.md,CHUNKING_HARDENING_COMPLETE.md,,.md,855,238,e85d06eb80fbef1c914571696ff5b582,no,no,root-or-other,historical,,
CHUNKING_TEST_STRATEGY.md,CHUNKING_TEST_STRATEGY.md,,.md,1011,240,3057d0d3aa2b68efe21d493f5596c4b1,no,yes,root-or-other,historical,,
CI_DB_DRIFT_ENFORCEMENT.md,CI_DB_DRIFT_ENFORCEMENT.md,,.md,1548,323,97e88d4b8138879c117baf5db6942f4e,no,no,root-or-other,historical,,
CI_FAILURES_FIXED.md,CI_FAILURES_FIXED.md,,.md,782,217,1e8bca0a0631fcc7682c9c5fede75b5d,no,yes,root-or-other,historical,,
CI_SECRETS_SETUP.md,CI_SECRETS_SETUP.md,,.md,0,0,d41d8cd98f00b204e9800998ecf8427e,no,no,root-or-other,historical,,d41d8cd98f00b204e9800998ecf8427e
CI_SUPABASE_SETUP.md,CI_SUPABASE_SETUP.md,,.md,808,211,5065a9256c1816609dc70fc7bf0867dc,no,no,root-or-other,historical,,
CI_UNBLOCK_ACTION_PLAN.md,CI_UNBLOCK_ACTION_PLAN.md,,.md,583,137,61c8a4406ed2fda371bab96bf53c0854,no,yes,planning,draft,,
CLEAN_RUN_VERIFIED.md,CLEAN_RUN_VERIFIED.md,,.md,614,193,be916ff1e57fd465a4095ce7acbcd2e7,no,no,root-or-other,historical,CLEAN_RUN_VERIFIED.md,
COMPLETION_SUMMARY.md,COMPLETION_SUMMARY.md,,.md,823,199,310118cc2ddedf12048759aa80706963,no,no,root-or-other,historical,,
CONTRIBUTING.md,CONTRIBUTING.md,,.md,341,137,a000b312acb4c6ac63d674cbdfd7f52a,no,yes,root-or-other,historical,,
COPILOT_NEXT_PHASE.md,COPILOT_NEXT_PHASE.md,,.md,555,143,c28f69fec332967352227d5f58e27032,no,no,root-or-other,historical,,
COPILOT_QUICK_REF.md,COPILOT_QUICK_REF.md,,.md,342,67,fecabc4cd565c0428cc8f3347b74b7ee,yes,no,root-or-other,historical,,
CRITICAL_OPERATIONAL_FIXES.md,CRITICAL_OPERATIONAL_FIXES.md,,.md,1128,319,f2193aa7831c4145ef63680c797b2d41,no,no,root-or-other,historical,,
DAEMON_FIX_VERIFICATION.md,DAEMON_FIX_VERIFICATION.md,,.md,378,120,0cbcccd32a68d2ab2ac52be72d49ebbb,no,no,root-or-other,historical,,
DAEMON_VERIFICATION.md,DAEMON_VERIFICATION.md,,.md,681,199,b4fb9503f81384efffd60ba2bc6334b7,no,no,root-or-other,historical,,
DEPLOYMENT_DOCS_INDEX.md,DEPLOYMENT_DOCS_INDEX.md,,.md,1110,262,66bc5b128bdc3053b81327769986e120,no,no,root-or-other,historical,,
DEPLOYMENT_INSTRUCTIONS.md,DEPLOYMENT_INSTRUCTIONS.md,,.md,693,213,abb1b326110ce6013831202be0a38756,no,no,root-or-other,historical,,
DEPLOYMENT_QUICK_REFERENCE.md,DEPLOYMENT_QUICK_REFERENCE.md,,.md,711,221,59b2f052b9b4a067020fe8254f717d36,no,no,root-or-other,historical,,
DEV_SERVER_RUNBOOK.md,DEV_SERVER_RUNBOOK.md,,.md,429,140,e94cfe3eb4c1074fe0d0bb26a15db771,no,no,runbook,runbook,,
DIAGNOSIS_CORRECTED.md,DIAGNOSIS_CORRECTED.md,,.md,481,100,44513c41f3064d5ba1dcaa4d65c3be88,no,no,root-or-other,historical,,
DIAGNOSTIC_UPDATE_2.md,DIAGNOSTIC_UPDATE_2.md,,.md,494,126,0d071ae47ec34ef678316e34b71a5942,no,no,root-or-other,historical,,
DOCS_IMPROVEMENTS_SUMMARY.md,DOCS_IMPROVEMENTS_SUMMARY.md,,.md,650,163,3d9f42925431b460b299c8d47c1e978c,no,no,root-or-other,historical,,
EXECUTION_LOG.md,EXECUTION_LOG.md,,.md,528,138,d55d0e0e1bfb9becce5918abbe4c3bb0,no,no,root-or-other,historical,,
EXECUTION_SUMMARY.md,EXECUTION_SUMMARY.md,,.md,869,277,94070937b89ee732791aba0a4fdbd19d,no,no,root-or-other,historical,,
EXECUTIVE_SUMMARY_PHASE_E_FINAL.md,EXECUTIVE_SUMMARY_PHASE_E_FINAL.md,,.md,0,0,d41d8cd98f00b204e9800998ecf8427e,no,no,root-or-other,historical,,d41d8cd98f00b204e9800998ecf8427e
FINAL_STATUS.md,FINAL_STATUS.md,,.md,684,202,e20fe913ea0a42434ac32a51fbe1b84a,no,no,root-or-other,historical,,
FK_TYPE_MISMATCH_FIXED.md,FK_TYPE_MISMATCH_FIXED.md,,.md,475,166,50af87acc46bba2133eeaad9fe550a1e,no,no,root-or-other,historical,,
FLOW1A_PROOF_COMPLETE.md,FLOW1A_PROOF_COMPLETE.md,,.md,469,108,b9a4ab8626661a9656e6c47fefbeca02,no,yes,root-or-other,historical,,
FLOW1B_PROOF_COMPLETE.md,FLOW1B_PROOF_COMPLETE.md,,.md,537,131,ff3247f41dcadb451bda6041de8d024e,no,yes,root-or-other,historical,,
FLOW1_CANONICAL_EVIDENCE.md,FLOW1_CANONICAL_EVIDENCE.md,,.md,867,207,ed562b799b2231afd066b46f5c3403bf,yes,yes,root-or-other,historical,,
FLOW1_SMOKE_TEST_CHECKLIST.md,FLOW1_SMOKE_TEST_CHECKLIST.md,,.md,1212,387,155bae23a5aa4c277a0ada9d5657cd4e,no,no,root-or-other,historical,,
FLOW1_STATUS.md,FLOW1_STATUS.md,,.md,744,160,1cf31c0eb5e2b338058a619f82ee579d,no,yes,root-or-other,historical,,
GATE2_FINAL_CLOSURE.md,GATE2_FINAL_CLOSURE.md,,.md,368,85,8ae1e74c93a60e403556c4e5a7a96675,no,no,root-or-other,historical,,
GATE7_COPILOT_INSTRUCTION_PACKET.md,GATE7_COPILOT_INSTRUCTION_PACKET.md,,.md,2317,542,636f81cf59393b891aefeed297271e39,no,no,root-or-other,historical,,
GATE7_COPILOT_READY.md,GATE7_COPILOT_READY.md,,.md,1496,437,9866abe15487716001695743d3bb6544,no,no,root-or-other,historical,,
GATE7_EXECUTION_INDEX.md,GATE7_EXECUTION_INDEX.md,,.md,1099,307,939d2fd3132625820a43350fa45a7e61,yes,no,root-or-other,historical,,
GATE7_FINAL_LOCKDOWN_COMPLETE.md,GATE7_FINAL_LOCKDOWN_COMPLETE.md,,.md,714,232,592e7a60aadf21fd85277239fd558aef,no,no,root-or-other,historical,,
GATE7_SCHEMA_VERIFICATION_COMPLETE.md,GATE7_SCHEMA_VERIFICATION_COMPLETE.md,,.md,497,131,e1ee00fd5285a05436806886701dd20b,yes,no,root-or-other,historical,,
GATE_A5_CI_FIX_SUMMARY.md,GATE_A5_CI_FIX_SUMMARY.md,,.md,1093,253,bd48490f828e65f30070d346b17ac950,no,no,root-or-other,historical,,
GATE_A5_CLOSURE_FINAL.md,GATE_A5_CLOSURE_FINAL.md,,.md,910,180,2ff607f965c6f15b56792b702061b207,no,no,root-or-other,historical,,
GITHUB_ISSUE_DENO_TS_SEPARATION.md,GITHUB_ISSUE_DENO_TS_SEPARATION.md,,.md,256,41,ac19530a10357ecee052157e37a6dbd9,yes,no,root-or-other,historical,,
GITHUB_SECRETS_GUIDE.md,GITHUB_SECRETS_GUIDE.md,,.md,402,105,ffd03daeeaa2f935c720e2895049c1af,no,no,root-or-other,historical,,
GOVERNANCE_AUTHORITY_INDEX.md,GOVERNANCE_AUTHORITY_INDEX.md,,.md,747,131,ea3abc23034349ee6544fd02625bcf0d,yes,yes,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_A4_COMPAT_CONTRACTS.md,GOVERNANCE_CLOSEOUT_A4_COMPAT_CONTRACTS.md,,.md,201,29,06af239865b8ad9831d706f2db1a5e21,no,yes,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_CANONICAL_VOCABULARY.md,GOVERNANCE_CLOSEOUT_CANONICAL_VOCABULARY.md,,.md,533,121,0d414c86cdfc3e2debfb71e175fc66b5,yes,no,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_PHASE_D1_PUBLIC_UX_SAFETY.md,GOVERNANCE_CLOSEOUT_PHASE_D1_PUBLIC_UX_SAFETY.md,,.md,968,180,7cc6bd53ba05fdc8ba0abc4711a22fed,yes,no,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_PHASE_D2_CRITERIA_REGISTRY.md,GOVERNANCE_CLOSEOUT_PHASE_D2_CRITERIA_REGISTRY.md,,.md,1228,247,7367bc80f944fb104b99f97d12d9a357,yes,no,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_PHASE_D3_ABUSE_CONTROLS.md,GOVERNANCE_CLOSEOUT_PHASE_D3_ABUSE_CONTROLS.md,,.md,967,187,3b14a8d944b92b5fd1f2f7cd0a3ff884,yes,no,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_PHASE_D4_INCIDENT_READINESS.md,GOVERNANCE_CLOSEOUT_PHASE_D4_INCIDENT_READINESS.md,,.md,928,185,5bb64fda81f24d0ea727b2d094bfe1c1,yes,no,root-or-other,historical,,
GOVERNANCE_CLOSEOUT_PHASE_D5_LEGAL_ETHICS.md,GOVERNANCE_CLOSEOUT_PHASE_D5_LEGAL_ETHICS.md,,.md,1228,204,d83df717866e395a6386d4b3774a2626,yes,no,root-or-other,historical,,
GOVERNANCE_IMPLEMENTATION.md,GOVERNANCE_IMPLEMENTATION.md,,.md,582,149,b6668b9b71472a2127eea720e882acfc,no,no,root-or-other,historical,,
GUARD_RAILS_ADDED.md,GUARD_RAILS_ADDED.md,,.md,1153,309,546701d489396c87ed524d11a9b18dee,no,yes,root-or-other,historical,,
HARDENING_BULLETPROOF.md,HARDENING_BULLETPROOF.md,,.md,1504,363,5b27e04625cf389963b34b4ffcdff5ef,no,yes,root-or-other,historical,,
HARDENING_COMPLETE.md,HARDENING_COMPLETE.md,,.md,881,226,7e965eed2a5b573d10548395182295ed,no,no,root-or-other,historical,,
IMPLEMENTATION_COMPLETE.md,IMPLEMENTATION_COMPLETE.md,,.md,985,235,9cfecfbf078f1484d87f82f853fccb63,no,no,root-or-other,historical,,
IMPLEMENTATION_SUMMARY.md,IMPLEMENTATION_SUMMARY.md,,.md,605,166,a39c814eb2fbb73fdff7be0015d1af65,no,no,root-or-other,historical,,
IMPLEMENTATION_VERIFICATION.md,IMPLEMENTATION_VERIFICATION.md,,.md,1193,237,4a28c6ebe2170516d837a9a07a53b4a7,no,no,root-or-other,historical,,
INFRASTRUCTURE_COMPLETE.md,INFRASTRUCTURE_COMPLETE.md,,.md,507,152,51594b898bce07e029399d3c9acd33b1,yes,no,root-or-other,historical,,
LARGE_DOC_CHUNKING_COMPLETE.md,LARGE_DOC_CHUNKING_COMPLETE.md,,.md,810,238,6407b7e8920f36a92dbc97ca64649a18,no,no,root-or-other,historical,,
LIVE_VALIDATION_RUNBOOK.md,LIVE_VALIDATION_RUNBOOK.md,,.md,835,157,527617230324df084bfdaf6e9bfdd863,no,yes,runbook,runbook,,
LOCK_ANCHORS_POLICY.md,LOCK_ANCHORS_POLICY.md,,.md,846,160,16098577ab1acbcbf058e4d5545078ff,yes,no,root-or-other,historical,,
MISTAKE_PROOF_LOGGING_COMPLETE.md,MISTAKE_PROOF_LOGGING_COMPLETE.md,,.md,884,200,05fb623e15a4043d3c807f47298f85b7,no,no,root-or-other,historical,,
NEW_DOCS_GUIDE.md,NEW_DOCS_GUIDE.md,,.md,900,248,b7fb9caaae2477de1a768bb1574f41e4,no,no,root-or-other,historical,,
NEXT_HARDENING_THEN_FEATURES.md,NEXT_HARDENING_THEN_FEATURES.md,,.md,1088,284,55846f5849bc8c6e92cd62fd6576216b,no,no,root-or-other,historical,,
NPM_AUDIT_NOTES.md,NPM_AUDIT_NOTES.md,,.md,115,17,50089f7500700e4e223d50e54ca72310,no,no,audit,draft,NPM_AUDIT_NOTES.md,
OPENAI_INTEGRATION.md,OPENAI_INTEGRATION.md,,.md,851,269,4c8139884916ef49491f3eeda3553510,no,yes,root-or-other,historical,,
OPERATIONAL_FIXES_VERIFIED.md,OPERATIONAL_FIXES_VERIFIED.md,,.md,789,195,3b3276c75ed71ade5762d54b1beb92b5,no,no,root-or-other,historical,,
OPS_READINESS_SIGNOFF.md,OPS_READINESS_SIGNOFF.md,,.md,634,120,0e19123a8427adc3b0f2e2304c16b789,no,no,root-or-other,historical,,
PASSIVE_OBSERVABILITY_COMPLETE.md,PASSIVE_OBSERVABILITY_COMPLETE.md,,.md,371,131,842d290bf09475a04129378104880d33,yes,no,root-or-other,historical,,
PERPLEXITY_AUDIT_REPORT.md,PERPLEXITY_AUDIT_REPORT.md,,.md,1827,500,9ce83f7ad8b69b4169b06ff5ebca08da,no,no,audit,draft,,
PERPLEXITY_IMPROVEMENTS_APPLIED.md,PERPLEXITY_IMPROVEMENTS_APPLIED.md,,.md,979,249,8f9512e3625d3e195bbde9f3c1aec4fa,no,no,root-or-other,historical,,
PHASE1-CLOSURE-BRIDGE.md,PHASE1-CLOSURE-BRIDGE.md,,.md,875,165,967a18f66b43708a74015fd5b0ce7cbb,no,yes,root-or-other,historical,,
PHASE2A_CANON_FIXES.md,PHASE2A_CANON_FIXES.md,,.md,1022,266,11027e7c9d536916624959386cc74791,no,no,root-or-other,historical,,
PHASE2A_HARDENING_COMPLETE.md,PHASE2A_HARDENING_COMPLETE.md,,.md,805,193,a89118641154197d926c4375872dd7de,no,no,root-or-other,historical,,
PHASE2B_NEXT_STEPS.md,PHASE2B_NEXT_STEPS.md,,.md,936,275,cf080311c8e2ddb5872c39766b82efbc,no,no,root-or-other,historical,,
PHASE2C_CANONICAL_EVIDENCE.md,PHASE2C_CANONICAL_EVIDENCE.md,,.md,679,182,e649e9b41d14b479978326ae990a682d,yes,yes,root-or-other,historical,,
PHASE2C_GENUINELY_LOCKED.md,PHASE2C_GENUINELY_LOCKED.md,,.md,990,239,e855a2b0ad62c13d8ace743c266463c4,no,yes,root-or-other,historical,,
PHASE2C_HARDENING_COMPLETE.md,PHASE2C_HARDENING_COMPLETE.md,,.md,877,207,bb4cb9400805f223713595c72e0ad9c4,yes,yes,root-or-other,historical,,
PHASE2C_LOCKED.md,PHASE2C_LOCKED.md,,.md,1203,279,3429f52cefded7af20c7b984c0c70015,no,yes,root-or-other,historical,,
PHASE2C_MICRO_HARDENING.md,PHASE2C_MICRO_HARDENING.md,,.md,1187,293,567fa977649bfeba89cca47d8f8e73fd,no,yes,root-or-other,historical,,
PHASE2C_PROOF_VERIFIED.md,PHASE2C_PROOF_VERIFIED.md,,.md,538,148,b5353c95a560532a6cd77266e8d0ef45,no,yes,root-or-other,historical,,
PHASE2C_QUICK_REF.md,PHASE2C_QUICK_REF.md,,.md,822,176,df2fae89351ea9ff371cb4908fdc3440,no,yes,root-or-other,historical,,
PHASE2C_READY_TO_PUSH.md,PHASE2C_READY_TO_PUSH.md,,.md,808,184,0837722a73ee73fb72f53721a52f16a7,no,yes,root-or-other,historical,,
PHASE2C_SESSION_SUMMARY.md,PHASE2C_SESSION_SUMMARY.md,,.md,1067,293,91c44e566f9b49640e0d7b28901a2cd8,no,yes,root-or-other,historical,,
PHASE2D_CLOSURE_BRANCH_PROTECTION.md,PHASE2D_CLOSURE_BRANCH_PROTECTION.md,,.md,362,68,544494a49ea89e6fb994fae37698f560,no,no,root-or-other,historical,,
PHASE2D_COMPLETE.md,PHASE2D_COMPLETE.md,,.md,444,111,f11dfd464cb2d83ae2bbaf0468b44f96,no,no,root-or-other,historical,,
PHASE2D_DEFINITION.md,PHASE2D_DEFINITION.md,,.md,1359,228,b6cfbc4862c848520a72f5dce0fda114,no,yes,root-or-other,historical,,
PHASE2D_QUICK_REF.md,PHASE2D_QUICK_REF.md,,.md,318,92,ec2d7c679bd215697e215a44259cbff0,no,no,root-or-other,historical,,
PHASE2D_QUICK_START.md,PHASE2D_QUICK_START.md,,.md,526,158,aed9ed5e15e0f58c05b64a3bcbc4033c,no,no,root-or-other,historical,,
PHASE2D_SLICE3_CI_FIX.md,PHASE2D_SLICE3_CI_FIX.md,,.md,241,76,cb40a8155d19d18ff8350e556e7fdbec,no,no,root-or-other,historical,,
PHASE2D_SLICE3_IMPL_NOTES.md,PHASE2D_SLICE3_IMPL_NOTES.md,,.md,283,53,69a7ec29dcd80dc3861f1c66b0842ac7,no,no,root-or-other,historical,,
PHASE2D_STATUS.md,PHASE2D_STATUS.md,,.md,830,187,495185bbada3cef81de274eec744d943,no,no,root-or-other,historical,,
PHASE2E_CANONICAL_EVIDENCE.md,PHASE2E_CANONICAL_EVIDENCE.md,,.md,723,166,ba160d53beee32e0e40005b8ec00560f,yes,no,root-or-other,historical,,
PHASE2E_DELIVERY_SUMMARY.md,PHASE2E_DELIVERY_SUMMARY.md,,.md,842,265,09c7dc81ec07e4e74332e21ffd430aea,no,no,root-or-other,historical,,
PHASE2E_DIAGNOSTIC_PROOF.md,PHASE2E_DIAGNOSTIC_PROOF.md,,.md,1141,274,15e656d42537eac54eda6c73e4ce9eb7,no,no,root-or-other,historical,,
PHASE2E_HARDENING_COMPLETE.md,PHASE2E_HARDENING_COMPLETE.md,,.md,348,113,9d4203e39dc5795e89a700fdf59bfed0,no,no,root-or-other,historical,,
PHASE2E_INDEX.md,PHASE2E_INDEX.md,,.md,432,112,70dc948fd3224893f4c3bf21dbdfb51c,no,no,root-or-other,historical,,
PHASE2E_STATUS.md,PHASE2E_STATUS.md,,.md,576,126,b5f1439d2d3a2d3635514084a5746ac9,no,no,root-or-other,historical,,
PHASE2_HARDENING.md,PHASE2_HARDENING.md,,.md,1177,352,fec2fd6f38aa299e2116b2b35f325f1f,no,no,root-or-other,historical,,
PHASE2_HARDENING_SUMMARY.md,PHASE2_HARDENING_SUMMARY.md,,.md,811,254,1d21a20469bf7a1113f116b4468f335c,no,no,root-or-other,historical,,
PHASE2_PROOF_COMPLETE.md,PHASE2_PROOF_COMPLETE.md,,.md,1090,302,e8e13282d75b4acb17683c3a826827e3,no,no,root-or-other,historical,,
PHASE2_PROOF_REQUIRED_FIXES.md,PHASE2_PROOF_REQUIRED_FIXES.md,,.md,1428,416,c444bcc2e3060416168c889d08848c8b,no,no,root-or-other,historical,,
PHASE2_VERTICAL_SLICE_PROOF.md,PHASE2_VERTICAL_SLICE_PROOF.md,,.md,574,113,bdd5d688889b43b9e5c70e52ed1b30f5,no,no,root-or-other,historical,PHASE2_VERTICAL_SLICE_PROOF.md,
PHASE_0_2_CLOSURE_REPORT.md,PHASE_0_2_CLOSURE_REPORT.md,,.md,572,210,dc56b10287d4786c25c52663ee709858,yes,yes,root-or-other,historical,,
PHASE_0_3_GOVERNANCE_INJECTION_MAP.md,PHASE_0_3_GOVERNANCE_INJECTION_MAP.md,,.md,351,77,758c57c71e828b9a7cd85f30a8628db8,no,yes,root-or-other,historical,,
PHASE_2C1_ENV_VARS.md,PHASE_2C1_ENV_VARS.md,,.md,408,121,3daf3e3a5922228ea710bc16c8bb062e,no,yes,root-or-other,historical,,
PHASE_2_2_CONTRACT.md,PHASE_2_2_CONTRACT.md,,.md,788,92,0afe612c7ac42691184a56399c975073,yes,yes,root-or-other,historical,,
PHASE_2_2_GOLD_STANDARD.md,PHASE_2_2_GOLD_STANDARD.md,,.md,829,223,b05e9177a07016c08832d77de7c3c137,yes,no,root-or-other,historical,,
PHASE_2_3_APPLY_INTEGRITY_CLOSURE.md,PHASE_2_3_APPLY_INTEGRITY_CLOSURE.md,,.md,807,173,8cde0a82dddaa4ecfa052d1685bf7be9,no,yes,root-or-other,historical,,
PHASE_2_4_ENGINE_HARDENING_CLOSURE.md,PHASE_2_4_ENGINE_HARDENING_CLOSURE.md,,.md,832,161,5b5a17a8ac3bdd76b12548b0514b3425,yes,yes,root-or-other,historical,,
PHASE_2_5_STAGE_VALIDATION_CLOSURE.md,PHASE_2_5_STAGE_VALIDATION_CLOSURE.md,,.md,545,153,d3048a0cf6296d41a38453cdd1657346,no,no,root-or-other,historical,,
PHASE_2_6_A6_REPORT_CREDIBILITY_CLOSURE.md,PHASE_2_6_A6_REPORT_CREDIBILITY_CLOSURE.md,,.md,891,214,2b675d6ff7c3ac1c995984f06344b72b,yes,no,root-or-other,historical,,
PHASE_2_7_EVALUATION_UPLIFT_CLOSURE.md,PHASE_2_7_EVALUATION_UPLIFT_CLOSURE.md,,.md,980,171,552ee360b72ef769df11d065f4d224df,no,yes,root-or-other,historical,,
PHASE_2_7_EVALUATION_UPLIFT_PROGRESS.md,PHASE_2_7_EVALUATION_UPLIFT_PROGRESS.md,,.md,853,110,b18a668e8663cc725c949d42fb7b99b6,no,yes,root-or-other,historical,,
PHASE_2_7_REAL_RUN_01.md,PHASE_2_7_REAL_RUN_01.md,,.md,196,39,04369016e64d020a5f9fff174c19c2c4,no,yes,root-or-other,historical,PHASE_2_7_REAL_RUN_01.md,04369016e64d020a5f9fff174c19c2c4
PHASE_2_7_SPEC.md,PHASE_2_7_SPEC.md,,.md,1812,384,cc89624c28a8bc49f059e0c44ea16c74,no,yes,root-or-other,historical,,
PHASE_A3_A4_DEAD_LETTER_COMPLETION.md,PHASE_A3_A4_DEAD_LETTER_COMPLETION.md,,.md,359,65,4256b9cdf86dff695af50a00afe36ad0,no,yes,root-or-other,historical,,
PHASE_A5_DAY2_GOVERNANCE_CLOSURE.md,PHASE_A5_DAY2_GOVERNANCE_CLOSURE.md,,.md,806,210,6091b9544b86b92188a0df38913c187b,no,yes,root-or-other,historical,,
