RCA_ID,ISSUE_KEY,SYSTEM_AREA,STAGE,SYMPTOM,ROOT_CAUSE,CAUSE_TYPE,RULE_STRICTNESS_FLAG,ENFORCEMENT_VS_CALIBRATION,IMPACT,FIX,FILES_CODE_SURFACE,E2E_STAGES,SCRIPTS_PROOF_SURFACE,STATUS,EVIDENCE,BLOCKED_BY,LAST_UPDATED,NEXT_ACTION,DEPENDS_ON_RCA
RCA-PASS1-TOKEN-001,PASS1_OUTPUT_FEASIBILITY,Pass1 / OpenAI output budget,Pass1,finish_reason=length / empty response / jobs fail before reliable downstream gates,Pass1 output surface exceeds practical token/output budget on longer manuscripts; evidence anchors + deep reasoning + recommendations inflate response.,PROMPT_SCHEMA_BUDGET,MEDIUM,ENFORCEMENT,Reduces Pass4 reachability and blocks empirical proof of U2/gate changes on longer manuscripts.,"Reduce Pass1 output surface: one anchor where feasible, remove recommendations from Pass1, move deep reasoning downstream, classify truncation explicitly.",lib/evaluation/pipeline/runPass1.ts; lib/evaluation/pipeline/prompts/pass1-craft.ts; lib/evaluation/pipeline/runPipeline.ts; lib/llm/jsonParseBoundary.ts,E2E-04 pass1 + pass2; E2E-10 proof harness,scripts/e2e-golden-run.sh; scripts/check-e2e-summary.mjs; scripts/pipeline/run-phase2-7-real-run.ts; scripts/jobs-smoke-service-role.mjs,OPEN,Multiple observed PASS1 failures; finish_reason=length; completion token ceiling behavior discussed in session.,None; parallel minimal feasibility work while U2 RCA is defined.,2026-04-27,Implement minimal safe Pass1 output-surface reduction and add truncation classification proof.,
RCA-LLR-004-001,LLR-004,Pass2 / Lessons Learned,Pass2 → post_diagnostic,LLR_POST_DIAGNOSTIC_BLOCK at Pass2; job fails before report and before U2 can be exercised.,"UNKNOWN until inspected: could be invalid model diagnostics, rule strictness/calibration issue, or canon/registry mapping drift.",AMBIGUOUS,HIGH,AMBIGUOUS,Blocks pipeline before quality gate; can hide whether later governance/UI fixes work; must not be misclassified as only model failure.,Pull failing Pass2 output; compare line-by-line against ACTIVE_RULES.ts and canon registry; classify subtype before tuning prompt/rule/registry.,lib/evaluation/pipeline/runPass2.ts; lib/evaluation/pipeline/prompts/pass2-editorial.ts; lib/governance/lessonsLearned/ACTIVE_RULES.ts; lib/governance/canonRegistry.ts,E2E-04 pass1 + pass2; E2E-06 quality_gate,scripts/e2e-golden-run.sh; scripts/pipeline/run-phase2-7-real-run.ts; __tests__/lib/evaluation/processor.canonical-pipeline.test.ts,AMBIGUOUS,Job 5a5a2927-4e72-4513-bb3f-bfa38d559393 failed with LLR-004 at post_diagnostic.,AMBIGUOUS → RESOLVED after failing Pass2 payload is captured and subtype classified.,2026-04-27,Add LLR-004 subtype classification: MODEL_OUTPUT_INVALID vs RULE_TOO_STRICT vs REGISTRY_DRIFT.,
RCA-DIALOGUE-GATE-001,QG_DIALOGUE_ATTRIBUTION_UNDERAUDITED,Pass4 / Quality Gate,quality_gate / pass4,False or over-broad dialogue attribution failures on reachable jobs.,Gate used insufficiently diagnostic mechanism detection; valid dialogue analysis could be under-recognized without attribution/rendering vocabulary.,GATE_LOGIC,MEDIUM,ENFORCEMENT,Previously blocked completed reports; now resolved at gate-level but upstream reachability can obscure proof.,Keep diagnostic-grounded dialogue gate: marker OR mechanism-language path; preserve fail-closed behavior and regression tests.,lib/evaluation/pipeline/qualityGate.ts; lib/evaluation/pipeline/gates.ts; lib/evaluation/pipeline/runPass3Synthesis.ts; lib/evaluation/pipeline/runPipeline.ts,E2E-06 quality_gate; E2E-07 pass4_cross_check,__tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; scripts/pipeline/gate-replay-check.ts; scripts/pipeline/run-dominatus-i4-eval.ts,RESOLVED,PR #245; post-fix reachable runs did not re-trigger QG_DIALOGUE_ATTRIBUTION_UNDERAUDITED.,Upstream PASS1/LLR reachability for additional live samples.,2026-04-27,Preserve tests; only reopen if fresh post-fix job triggers same gate with diagnostic evidence.,
RCA-ATOMIC-PERSISTENCE-001,ATOMIC_PERSISTENCE,Persistence / Supabase RPC,persist_artifacts + finalize,Artifact/job completion could split or DB RPC could fail with ambiguity.,SQL ambiguity in atomic persistence RPC plus prior sequential write risk.,DB_RPC,LOW,ENFORCEMENT,Could create completion/artifact mismatch or failed success path.,Use atomic RPC for V2 persistence and source-align #variable_conflict/use_column hotfix.,lib/evaluation/persistEvaluationResultV2.ts; lib/evaluation/artifactPersistence.ts; supabase/migrations/*persist_evaluation_v2_atomic*,E2E-08 persist_artifacts + finalize; E2E-10 proof harness,__tests__/lib/evaluation/persistEvaluationResultV2.boundary-gate.test.ts; scripts/jobs-supabase-contract-smoke.mjs; scripts/jobs-smoke-service-role.mjs; npm run soak:qualify,RESOLVED,PR #241/#242/#243; job 29089ed6 complete; artifact af699bd8 exists; 100k soak proof.,None unless regression appears.,2026-04-27,Keep migration/source aligned and include atomic proof in release guard.,
RCA-FAILURE-ENVELOPE-001,PIPELINE_FAILURE_ENVELOPE,Failure Diagnostics,pipeline failure handling,"Current QG failure path now emits structured envelope, but diagnostic payload is not yet proven across all failure classes.",Envelope enforcement exists on current path; full diagnostic topology still requires fresh non-null pipeline_failure_diagnostics samples.,OBSERVABILITY,MEDIUM,ENFORCEMENT,"Without consistent envelope/diagnostics, failures become harder to classify into RCCA rows.",Keep envelope required; run targeted post-fix diagnostic failures to capture non-null diagnostics and classify by stage.,lib/evaluation/processor.ts; lib/evaluation/pipeline/failures.ts; lib/evaluation/processor/finalizeJobFailure.ts,E2E-03 claim → pipeline_run; E2E-06 quality_gate; E2E-10 proof harness,tests/evaluation/pipeline/pipeline-e2e.test.ts; __tests__/lib/evaluation/processor.test.ts; scripts/e2e-golden-run.sh,PARTIAL,Recent QG failure job 40b377de had pipeline_failure_envelope; older jobs lacked envelope as pre-fix baseline.,Need fresh non-null diagnostics sample.,2026-04-27,Generate targeted post-fix failure proof and store RCA subtype in ledger.,
RCA-U2-001,U2_SCORE_CONFIDENCE_MISMATCH,Quality Gate,quality_gate,Score >= 6 while criterion confidence is low.,No hard binding between derived confidence and score authority.,SYSTEM,HIGH,ENFORCEMENT,Allows over-claiming evaluation authority and lets weak evidence look stronger than it is.,Enforce QG_FIDELITY_SCORE_CONFIDENCE_MISMATCH; fail/hold or cap authority when low-confidence score exceeds allowed ceiling.,lib/evaluation/pipeline/qualityGate.ts,E2E-06 quality_gate; E2E-10 proof harness,__tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; tests/evaluation/pipeline/pipeline-e2e.test.ts; scripts/e2e-golden-run.sh,NOT_STARTED,U2 Batch 2 seed from 2026-04-27 workbook discussion; must close after confidence derivation exists.,Blocked by confidence derivation RCA.,2026-04-27,Implement after RCA-U2-003 so confidence source is deterministic.,RCA-U2-003
RCA-U2-002,U2_SUMMARY_WASHING,Pass3 / Synthesis,pass3_synthesis,Summary presents positive/clean authority while low-scoring or weak criteria exist.,Synthesis layer can smooth contradictions and omit lowest-scoring weakness cluster.,SYSTEM,HIGH,ENFORCEMENT,Narrative distortion: user-facing summary can sound better than the score/evidence profile supports.,Require Pass3 summary to reference at least one weakest/lowest-scoring criteria cluster; gate QG_SUMMARY_OMITS_WEAKNESS if omitted.,lib/evaluation/pipeline/runPass3Synthesis.ts; lib/evaluation/pipeline/qualityGate.ts,E2E-05 pass3; E2E-06 quality_gate; E2E-10 proof harness,__tests__/lib/evaluation/pipeline/pass3-semantic-contract.test.ts; __tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; PV115 golden fixture,NOT_STARTED,U2 Batch 2 seed; anti-washing must be separate from score-confidence mismatch.,Blocked by anchor enforcement so weakness reference has concrete textual grounding.,2026-04-27,Implement after RCA-U2-006 anchor requirement is defined.,RCA-U2-006
RCA-U2-003,U2_CONFIDENCE_DERIVATION,Pipeline / Confidence,synthesisToEvaluationResultV2,Confidence inconsistent with evidence profile or still treated as model-emitted/static metadata.,Confidence is not deterministically derived from criterion evidence/count/quality topology.,SYSTEM,HIGH,ENFORCEMENT,"Invalid authority signal can propagate into score, summary, persistence, and UI.",Derive confidence from evidence profile and deterministic reason codes; populate governance.confidence_label and confidence_reasons.,lib/evaluation/pipeline/runPipeline.ts; lib/evaluation/schemas/evaluation-result-v2.ts; lib/evaluation/pipeline/propagationIntegrity.ts,E2E-05 pass3; E2E-06 quality_gate; E2E-10 proof harness,tests/evaluation/pipeline/pipeline-e2e.test.ts; __tests__/lib/evaluation/processor.real-gate.test.ts; PV115 golden fixture,PARTIAL,Remote branch feat/u2-propagation-enforcement includes U2 commit 8ecdde70; deterministic confidence implementation pushed; focused local tests green. ROADMAP.md updated by ca12ade4 to PARTIAL REMOTE IMPLEMENTATION / LIVE_PROOF_PENDING. Live server/API artifact proof still pending.,LIVE_PROOF_PENDING,2026-04-28,"Run live U2 closure proof and capture governance.confidence_label, confidence_reasons, propagation_summary, and progress.gate_enforcement before RESOLVED.",NONE
RCA-U2-004,U2_PROPAGATION_MISSING,Pipeline / Gate,synthesis + quality_gate,Weak criterion signals do not affect report-level authority.,No aggregation/profiling layer converts per-criterion confidence/evidence into upstreamIntegrity.,SYSTEM,HIGH,ENFORCEMENT,Report-level dishonesty: weak evidence can still produce high-authority artifact presentation.,Compute propagation profile: low/moderate/scorable-low/missing/weak evidence counts plus upstreamIntegrity strong|mixed|weak.,lib/evaluation/pipeline/qualityGate.ts; lib/evaluation/pipeline/runPipeline.ts; lib/evaluation/schemas/evaluation-result-v2.ts,E2E-06 quality_gate; E2E-08 persist_artifacts + finalize; E2E-10 proof harness,__tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; __tests__/lib/evaluation/persistEvaluationResultV2.boundary-gate.test.ts; scripts/e2e-golden-run.sh,NOT_STARTED,U2 Batch 2 seed; creates report-level propagation authority.,Blocked by confidence derivation; cannot aggregate unstable confidence source.,2026-04-27,Implement after RCA-U2-003.,RCA-U2-003
RCA-U2-005,U2_UI_AUTHORITY_MISMATCH,UI / Classification,report_render,High-confidence UI/banner can appear on weak or low-confidence artifact.,UI classification is not bound to confidence topology and propagation integrity.,SYSTEM,HIGH,ENFORCEMENT,User-facing false authority even if backend has warnings or mixed/weak confidence.,Update warningClassification so high-confidence banner requires PASS + non-low confidence + no severe propagation/fidelity warning.,lib/evaluation/warningClassification.ts; components/report/*; app/evaluate/[jobId]/page.tsx,E2E-09 report_render; E2E-10 proof harness,__tests__/lib/evaluation/warningClassification.test.ts; scripts/check-e2e-summary.mjs; PV115 golden fixture,NOT_STARTED,U2 Batch 2 seed; close after propagation layer exists.,Blocked by propagation profile; UI needs stable upstreamIntegrity input.,2026-04-27,Implement after RCA-U2-004.,RCA-U2-004
RCA-U2-006,U2_EVIDENCE_ANCHOR_ENFORCEMENT,Quality Gate / Pass2,pass2 + quality_gate,"Criterion rationale lacks textual anchors such as quote, scene, action, or concrete manuscript reference.","No enforced citation/anchor requirement for rationale validity; scope is anchor enforcement only, not full confidence derivation.",MODEL + SYSTEM,MEDIUM,ENFORCEMENT,Shallow reasoning can appear valid and later be polished by synthesis.,Require at least one concrete textual anchor for scorable rationale OR downgrade confidence / trigger hold threshold.,lib/evaluation/pipeline/qualityGate.ts; lib/evaluation/pipeline/runPass2.ts; lib/evaluation/pipeline/prompts/pass2-editorial.ts; lib/evaluation/pipeline/__tests__/runPass2.anchor-enforcement.test.ts,E2E-04 pass1 + pass2; E2E-06 quality_gate; E2E-10 proof harness,__tests__/lib/evaluation/pipeline/qualityGate.coverage.test.ts; lib/evaluation/pipeline/__tests__/runPass2.anchor-enforcement.test.ts; __tests__/lib/evaluation/processor.real-gate.test.ts; PV115 golden fixture,PARTIAL,Remote branch feat/u2-propagation-enforcement includes U2 commit 8ecdde70 with runPass2 anchor enforcement and runPass2.anchor-enforcement.test.ts; focused local tests green. Live server/API artifact proof still pending.,LIVE_PROOF_PENDING,2026-04-28,Run live/real-path proof and capture reason_codes / NO_TEXTUAL_ANCHOR evidence when applicable before RESOLVED.,NONE
RCA-BOUNDARY-SHAPE-001,BOUNDARY_VALIDATION_SHAPE_GAP,Persistence Boundary,persistEvaluationResultV2 / validation,RESOLVED: raw persisted PASS artifact path was verified; gate_enforcement is stored at progress.gate_enforcement and PASS-path regression exists.,No defect found. Ambiguity came from an unproven raw-vs-normalized proof gap. Structural validation runs on raw EvaluationResultV2 before persistence; pipeline artifact validation runs on an intentional projection; raw EvaluationResultV2 is persisted.,PROOF_GAP_CLOSED,MEDIUM,CALIBRATION_CONFIRMED,Removes false uncertainty around boundary validation; restores confidence that Step 1.5 structural validation is enforced on the covered PASS path.,No code change required from this check. Preserve PASS-path regression asserting progress.gate_enforcement is populated; continue querying progress->'gate_enforcement' rather than expecting a standalone column.,lib/evaluation/persistEvaluationResultV2.ts; lib/evaluation/pipeline/validateEvaluationArtifact.ts; lib/evaluation/schemas/evaluation-result-v2.ts; lib/evaluation/artifactPersistence.ts,E2E-08 persist_artifacts + finalize; E2E-10 proof harness,scripts/e2e-golden-run.sh; scripts/check-e2e-summary.mjs; __tests__/lib/evaluation/persistEvaluationResultV2.boundary-gate.test.ts,RESOLVED,"RESOLVED with code-level + live production-data proof. Live SQL against latest complete job 533a77a5-11cd-4b06-9167-41332cd12390 returned progress->'gate_enforcement' populated (not null): validation_result='PASS', gate_decision='PASS', gate_reason='Artifact validation result is PASS', validated_at='2026-04-27T04:26:09.435Z', confidence={confidence:'high', reasons:[]}, reason_codes=[]. artifact_schema=evaluation_result_v2; completed_at=2026-04-27T04:26:09.436+00:00. Code proof: validateStructuralArtifact runs on raw EvaluationResultV2 before buildArtifactForValidation projection; raw artifact is persisted via p_artifact_content/p_evaluation_result; PASS-path regression passes 6/6.",None. Closed before U2 code lands.,2026-04-27,Closed. Use progress->'gate_enforcement' for future DB checks; do not query a nonexistent top-level gate_enforcement column.,NONE